cities, longitude, latitude, Pearson coefficient, p-value
Lvliang,111.2632,37.6785,0.319,0.0
Jiaxing,120.8034,30.6165,0.276,0.0
Xianyang,108.3905,34.7845,0.594,0.0
Fuzhou,119.1803,26.0497,0.37,0.0
Tongchuan,109.0322,35.1957,0.428,0.0
Nanjing,118.8425,31.9276,0.18,0.023
Wuhan,114.343,30.6236,0.203,0.01
Handan,114.5421,36.553,0.335,0.0
Dongying,118.6016,37.6222,0.031,0.699
Hefei,117.3558,31.7634,0.377,0.0
Jining,116.735,35.3685,0.252,0.001
Xi'an,108.7919,34.1069,0.177,0.025
Fuyang,115.7038,32.9173,0.317,0.0
Jiujiang,115.4527,29.3218,0.101,0.202
Yuncheng,111.0634,35.1866,0.186,0.018
Changde,111.5195,29.3001,0.291,0.0
Nantong,121.0218,32.186,0.283,0.0
Huangshan,118.0711,29.9066,0.378,0.0
Xinzhou,112.4074,38.8819,0.302,0.0
Xiantao,113.3751,30.2901,0.521,0.0
Suzhou,120.6516,31.3813,0.344,0.0
Tianmen,113.1118,30.6449,0.536,0.0
Chengde,117.5486,41.3476,0.301,0.0
Fuzhou,116.4343,27.51,0.118,0.138
Huaihua,110.0754,27.5489,0.273,0.0
Shijiazhuang,114.4399,38.1313,0.11,0.168
Jiaozuo,113.1291,35.1169,0.349,0.0
Nanyang,112.2845,33.0427,0.356,0.0
Yongzhou,111.7294,25.7747,0.425,0.0
Wuhu,118.1346,31.1627,0.342,0.0
Ganzhou,115.273,25.7088,0.015,0.854
Quzhou,118.6747,28.9345,0.169,0.033
Qinhuangdao,119.185,40.088,0.049,0.536
Ma'anshan,118.3651,31.637,0.324,0.0
Xiamen,118.1158,24.6765,0.262,0.001
Xingtai,114.8159,37.2126,0.403,0.0
Hebi,114.3109,35.7217,0.278,0.0
Lianyungang,119.1336,34.5332,0.018,0.82
Shangrao,117.4723,28.7734,0.361,0.0
Baoding,115.1706,39.0213,0.374,0.0
Yiyang,111.951,28.5751,0.374,0.0
Jinan,117.2148,36.6371,0.358,0.0
Shiyan,110.4423,32.4559,0.22,0.005
Bengbu,117.3254,33.1086,0.313,0.0
Zhoushan,122.1858,30.0948,0.279,0.0
Yulin,109.5663,38.0378,0.648,0.0
Yan'an,109.3152,36.4372,0.575,0.0
Taizhou,121.1108,28.7727,0.573,0.0
Wenzhou,120.4404,27.9037,0.872,0.0
Lishui,119.5117,28.1993,0.689,0.0
Ningde,119.4734,26.9749,0.599,0.0
Tongling,117.5561,30.8842,0.44,0.0
Jingzhou,112.57,29.9959,0.561,0.0
Huaibei,116.7435,33.7266,0.346,0.0
Yantai,120.8006,37.2408,0.328,0.0
Xiaogan,113.8793,31.1183,0.347,0.0
Wuxi,120.0758,31.5264,0.218,0.006
Pingdingshan,113.0118,33.7954,0.423,0.0
Suizhou,113.4241,31.8284,0.445,0.0
Xuchang,113.7096,34.0726,0.432,0.0
Suqian,118.5202,33.7842,0.151,0.056
Tangshan,118.3359,39.7212,0.764,0.0
Nanchang,116.019,28.6493,0.084,0.29
Pingxiang,113.9025,27.5116,0.217,0.006
Changzhi,112.9168,36.4753,0.255,0.001
Huai'an,118.9638,33.3529,0.231,0.003
Xinyang,114.8839,32.0812,0.235,0.003
Yangzhou,119.4742,32.7382,0.31,0.0
Yichun,114.9727,28.3061,0.237,0.003
Baoji,107.2,34.3788,0.357,0.0
Datong,113.7223,39.8995,0.278,0.0
Chuzhou,118.1026,32.5442,0.358,0.0
Jincheng,112.7076,35.6106,0.041,0.606
Rizhao,119.1351,35.583,0.144,0.069
Jinhua,119.9521,29.1183,0.495,0.0
Longyan,116.7387,25.2928,0.477,0.0
Ningbo,121.4607,29.7424,0.284,0.0
Putian,118.8895,25.4509,0.292,0.0
Changsha,113.1531,28.2269,0.59,0.0
Xiangtan,112.6027,27.7316,0.569,0.0
Weinan,109.8508,34.95,0.558,0.0
Zaozhuang,117.3933,34.916,0.329,0.0
Shangqiu,115.6982,34.2884,0.386,0.0
Jinzhong,112.9632,37.3273,0.407,0.0
Liaocheng,115.8806,36.4585,0.247,0.002
Xianning,114.1752,29.6236,0.325,0.0
Changzhou,119.6372,31.6253,0.235,0.003
Kaifeng,114.5355,34.604,0.253,0.001
Tianjin,117.334,39.2934,0.179,0.024
Zhenjiang,119.4536,32.0167,0.397,0.0
Suzhou,117.2108,33.8587,0.163,0.039
Yangquan,113.499,38.0635,0.1,0.206
Chizhou,117.3656,30.2838,0.475,0.0
Binzhou,117.8377,37.5316,0.459,0.0
Sanming,117.3959,26.2987,0.568,0.0
Shuozhou,112.6415,39.6173,0.282,0.0
Cangzhou,116.7533,38.2668,0.366,0.0
Shanghai,121.4691,31.2401,0.13,0.102
Qianjiang,112.7561,30.339,0.239,0.002
