cities, longitude, latitude, DTW distance, p-value
Enshi,109.549,30.1916,360.24,0.039
Linfen,111.3769,36.2269,49.69,0.0
Weifang,119.0711,36.5456,141.21,0.0
Lvliang,111.2632,37.6785,53.95,0.0
Jiaxing,120.8034,30.6165,238.49,0.021
Xianyang,108.3905,34.7845,92.65,0.0
Fuzhou,119.1803,26.0497,228.27,0.001
Tongchuan,109.0322,35.1957,94.13,0.347
Nanjing,118.8425,31.9276,565.99,0.118
Wuhan,114.343,30.6236,354.07,0.0
Handan,114.5421,36.553,789.2,0.062
Dongying,118.6016,37.6222,85.68,0.0
Hefei,117.3558,31.7634,177.74,0.0
Jining,116.735,35.3685,103.1,0.0
Xi'an,108.7919,34.1069,422.38,0.0
Fuyang,115.7038,32.9173,189.28,0.069
Jiujiang,115.4527,29.3218,83.49,0.0
Yuncheng,111.0634,35.1866,117.47,0.0
Changde,111.5195,29.3001,148.61,0.313
Nantong,121.0218,32.186,86.93,0.0
Huangshan,118.0711,29.9066,686.22,0.664
Xinzhou,112.4074,38.8819,70.89,0.0
Xiantao,113.3751,30.2901,150.4,0.005
Suzhou,120.6516,31.3813,374.31,0.0
Tianmen,113.1118,30.6449,116.01,0.02
Chengde,117.5486,41.3476,239.8,0.249
Fuzhou,116.4343,27.51,75.67,0.0
Huaihua,110.0754,27.5489,79.82,0.0
Shijiazhuang,114.4399,38.1313,213.32,0.0
Jiaozuo,113.1291,35.1169,69.29,0.0
Nanyang,112.2845,33.0427,165.48,0.0
Yongzhou,111.7294,25.7747,62.11,0.0
Wuhu,118.1346,31.1627,213.51,0.159
Ganzhou,115.273,25.7088,88.32,0.0
Quzhou,118.6747,28.9345,198.05,0.106
Qinhuangdao,119.185,40.088,392.29,0.164
Ma'anshan,118.3651,31.637,144.21,0.006
Xiamen,118.1158,24.6765,241.12,0.001
Xingtai,114.8159,37.2126,663.67,0.033
Hebi,114.3109,35.7217,55.51,0.0
Lianyungang,119.1336,34.5332,249.41,0.047
Shangrao,117.4723,28.7734,85.63,0.0
Baoding,115.1706,39.0213,147.26,0.0
Yiyang,111.951,28.5751,67.43,0.0
Jinan,117.2148,36.6371,260.4,0.0
Shiyan,110.4423,32.4559,85.65,0.0
Bengbu,117.3254,33.1086,260.02,0.138
Zhoushan,122.1858,30.0948,453.75,0.307
Yulin,109.5663,38.0378,97.53,0.0
Yan'an,109.3152,36.4372,219.88,0.355
Taizhou,121.1108,28.7727,106.38,0.0
Wenzhou,120.4404,27.9037,197.41,0.0
Lishui,119.5117,28.1993,234.9,0.12
Ningde,119.4734,26.9749,109.7,0.004
Tongling,117.5561,30.8842,115.74,0.002
Jingzhou,112.57,29.9959,134.39,0.0
Huaibei,116.7435,33.7266,73.47,0.0
Yantai,120.8006,37.2408,174.55,0.342
Xiaogan,113.8793,31.1183,109.26,0.0
Wuxi,120.0758,31.5264,194.95,0.0
Pingdingshan,113.0118,33.7954,64.88,0.0
Suizhou,113.4241,31.8284,99.36,0.001
Xuchang,113.7096,34.0726,70.76,0.0
Suqian,118.5202,33.7842,114.57,0.0
Tangshan,118.3359,39.7212,866.08,0.289
Nanchang,116.019,28.6493,121.71,0.0
Pingxiang,113.9025,27.5116,74.98,0.0
Changzhi,112.9168,36.4753,57.64,0.0
Huai'an,118.9638,33.3529,122.51,0.0
Xinyang,114.8839,32.0812,107.93,0.0
Yangzhou,119.4742,32.7382,103.8,0.0
Yichun,114.9727,28.3061,77.96,0.0
Baoji,107.2,34.3788,139.87,0.171
Datong,113.7223,39.8995,143.5,0.003
Chuzhou,118.1026,32.5442,136.75,0.027
Jincheng,112.7076,35.6106,63.93,0.0
Rizhao,119.1351,35.583,208.12,0.684
Jinhua,119.9521,29.1183,203.84,0.982
Longyan,116.7387,25.2928,75.39,0.0
Ningbo,121.4607,29.7424,187.81,0.0
Putian,118.8895,25.4509,230.05,0.402
Changsha,113.1531,28.2269,249.32,0.0
Xiangtan,112.6027,27.7316,76.14,0.0
Weinan,109.8508,34.95,89.48,0.0
Zaozhuang,117.3933,34.916,71.6,0.0
Shangqiu,115.6982,34.2884,91.43,0.0
Jinzhong,112.9632,37.3273,67.8,0.0
Liaocheng,115.8806,36.4585,92.02,0.0
Xianning,114.1752,29.6236,89.69,0.0
Changzhou,119.6372,31.6253,115.2,0.0
Kaifeng,114.5355,34.604,155.6,0.075
Tianjin,117.334,39.2934,164.59,0.0
Zhenjiang,119.4536,32.0167,105.57,0.0
Suzhou,117.2108,33.8587,110.76,0.0
Yangquan,113.499,38.0635,36.9,0.0
Chizhou,117.3656,30.2838,123.82,0.031
Binzhou,117.8377,37.5316,54.32,0.0
Sanming,117.3959,26.2987,51.91,0.0
Shuozhou,112.6415,39.6173,61.91,0.0
Cangzhou,116.7533,38.2668,79.61,0.0
Shanghai,121.4691,31.2401,516.95,0.0
Qianjiang,112.7561,30.339,127.94,0.0
